family,instance_id,theta,Delta,resolved,r_star,r_value_for_plot,worst_case_rule_r,worst_case_rule_status,low_energy_rule_r,low_energy_rule_status,empirical_rule_display_r
random two-local,random_0,2.9845130209103035,-1.0195081707693117,True,122,122,184566,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,122
random two-local,random_0,3.141592653589793,-0.6526363125590156,True,125,125,184566,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,125
structured dipolar,structured_0,0.0,-11.300722222222223,True,1,1,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,1
structured dipolar,structured_0,0.15707963267948966,-10.885899686769974,True,63,63,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,63
structured dipolar,structured_0,0.3141592653589793,-9.68203780042186,True,121,121,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,121
structured dipolar,structured_0,0.47123889803846897,-7.806978952412587,True,171,171,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,171
structured dipolar,structured_0,0.6283185307179586,-5.444266967088519,True,210,210,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,210
structured dipolar,structured_0,0.7853981633974483,-2.8251805555555562,True,236,236,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,236
structured dipolar,structured_0,0.9424777960769379,-0.20609414402259008,True,250,250,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,250
structured dipolar,structured_0,1.0995574287564276,2.1566178413014763,True,253,253,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,253
structured dipolar,structured_0,1.2566370614359172,4.031676689310745,True,249,249,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,249
structured dipolar,structured_0,1.413716694115407,5.2355385756588655,True,243,243,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,243
structured dipolar,structured_0,1.5707963267948966,5.650361111111111,True,241,241,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,241
structured dipolar,structured_0,1.7278759594743862,5.2355385756588655,True,243,243,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,243
structured dipolar,structured_0,1.8849555921538759,4.0316766893107445,True,249,249,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,249
structured dipolar,structured_0,2.0420352248333655,2.1566178413014803,True,253,253,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,253
structured dipolar,structured_0,2.199114857512855,-0.20609414402258752,True,250,250,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,250
structured dipolar,structured_0,2.356194490192345,-2.825180555555554,True,236,236,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,236
structured dipolar,structured_0,2.5132741228718345,-5.44426696708852,True,210,210,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,210
structured dipolar,structured_0,2.670353755551324,-7.806978952412587,True,171,171,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,171
structured dipolar,structured_0,2.827433388230814,-9.682037800421861,True,121,121,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,121
structured dipolar,structured_0,2.9845130209103035,-10.885899686769976,True,63,63,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,63
structured dipolar,structured_0,3.141592653589793,-11.300722222222223,True,1,1,63114,proxy_not_certified_for_fidelity,,missing_theorem_formula_or_constants,1
